level_0,index,order,row,col,rep,line,grid,entry,name,breeder,irrigation,Tier,Row,Name/Code,Breeder,Weight per row (lbs),ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0607,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818,NDVI0412,NDVI0422,NDVI0427,NDVI0506,NDVI0516,NDVI0520,NDVI0531,NDVI0607,NDVI0614,NDVI0620,NDVI0623,NDVI0627,NDVI0716,NDVI0721,NDVI0725,NDVI0802,NDVI0808,NDVI0812,NDVI0818,ch0412,ch0415,ch0427,ch0506,ch0516,ch0520,ch0523,ch0527,ch0531,ch0602,ch0607,ch0614,ch0617,ch0620,ch0623,ch0627,ch0630,ch0708,ch0713,ch0716,ch0719,ch0721,ch0725,ch0728,ch0802,ch0808,ch0812,cv0412,cv0415,cv0427,cv0506,cv0516,cv0520,cv0523,cv0527,cv0531,cv0602,cv0607,cv0614,cv0617,cv0620,cv0623,cv0627,cv0630,cv0708,cv0713,cv0716,cv0719,cv0721,cv0725,cv0728,cv0802,cv0808,cv0812,bollnum,bollsize,bollasize,bollvol,bollavol,fc0623,fc0627,fc0630,a (3PL),b (3PL),c (3PL),max_cc (3PL),max_growth_rate (3PL),day_at_max_growth_rate (3PL),day1_at_half_max (3PL),day2_at_half_max (3PL),a (4PL),b (4PL),c (4PL),d (4PL),max_cc (4PL),max_growth_rate (4PL),day_at_max_growth_rate (4PL),day1_at_half_max (4PL),day2_at_half_max (4PL),alpha (4PR),beta (4PR),k (4PR),m (4PR),max_cc (4PR),max_growth_rate (4PR),day_at_max_growth_rate (4PR),day1_at_half_max (4PR),day2_at_half_max (4PR),a (5PL),b (5PL),c (5PL),d (5PL),g (5PL),max_cc (5PL),max_growth_rate (5PL),day_at_max_growth_rate (5PL),day1_at_half_max (5PL),day2_at_half_max (5PL)
89,89,90,2,16,418,1,1,C,PHY_499,Visual_Check,No,6,31,PHY499,Visual Check,0.026830568320123826,-0.011922,0.004382,-0.007545,-0.000459,0.033493,0.114105,0.146943,0.20924,0.169632,0.225838,0.439357,0.426867,0.470616,0.488049,0.506445,0.448322,0.486498,0.410918,0.44165,0.408871,0.414141,0.396347,0.396538,0.333332,0.196126,0.116018,-0.040125,-0.052299,0.21723,0.210758,0.24872,0.349012,0.427304,0.459062,0.55578,0.651736,0.618988,0.576515,0.576891,0.535809,0.561049,0.548092,0.555748,0.517186,0.536913,0.430542,0.374847,0.04488,0.0,0.0,0.117347,0.280734,0.361814,0.491404,0.563451,0.636362,0.706286,0.432066,0.9869,1.096275,1.174336,1.215204,1.273271,1.222568,1.231766,1.336325,1.227358,1.122523,1.201828,1.206843,1.17214,1.272464,0.746665,0.066299,0.020134,0.0,0.0,0.009284,0.064704,0.130643,0.194734,0.242286,0.365733,0.454882,0.224645,0.705471,0.821526,0.869956,0.918188,0.967161,0.937303,0.901699,0.898462,0.929517,0.893165,0.909234,0.896594,0.874416,0.853855,0.470885,0.000293,58.1,782.505523,13.650623,2653.09873,46.509358,0,2,8,98.260398,7.123885,52.474085,98.259944,3.438832,52.0,39.877775,65.069295,0.125394,7.162754,52.403587,100.088055,100.00043,3.474878,50.0,38.871872,64.035114,99.26972,101.973964,0.111333,0.381614,99.265207,3.423354,50.0,38.544503,64.533402,-0.222596,6.281369,58.150486,98.875277,1.66343,98.865132,3.375482,51.0,38.624854,65.086266
90,90,91,2,16,418,2,1,C,PHY_499,Visual_Check,No,6,32,PHY499,Visual Check,0.03167413908053569,-0.009753,0.001236,-0.011052,0.000341,0.041571,0.132271,0.154803,0.216482,0.188285,0.23685,0.447432,0.458483,0.471005,0.46177,0.499228,0.436909,0.477399,0.390679,0.420049,0.381866,0.373229,0.342377,0.331967,0.279538,0.151505,0.081123,-0.039774,-0.041993,0.229542,0.189911,0.234854,0.341981,0.438179,0.454448,0.569908,0.644214,0.622386,0.57416,0.587672,0.538226,0.557738,0.550184,0.535649,0.486035,0.50564,0.3893,0.350413,0.04741,0.0,0.0,0.136868,0.32422,0.411109,0.523609,0.610451,0.699217,0.771131,0.509365,1.044155,1.156932,1.224936,1.259286,1.304364,1.242976,1.235259,1.335663,1.268481,1.171781,1.253915,1.254355,1.186179,1.292581,0.657903,0.025353,0.019489,0.0,0.0,0.014798,0.088955,0.154296,0.213199,0.291381,0.42799,0.524596,0.277912,0.735068,0.847999,0.902651,0.928354,0.979401,0.949142,0.908669,0.905883,0.943199,0.907925,0.923378,0.890927,0.855816,0.832154,0.372375,9.5e-05,46.8,705.719189,15.086936,2535.562732,54.160591,3,11,11,97.903003,6.793031,51.227504,97.902796,3.595572,51.0,39.220139,63.235432,0.221402,7.39387,51.113195,99.391626,99.334001,3.64461,49.0,38.333234,62.153649,98.203714,636.620755,0.13417,0.738659,98.203125,3.57514,50.0,38.653275,63.053037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,92,2,17,419,1,1,21,5235,Stelly,No,6,33,5235,Stelly,0.02126347661624795,-0.007938,-0.000666,-0.006984,0.001265,0.036938,0.107434,0.133464,0.184706,0.168764,0.206279,0.416718,0.456273,0.466017,0.460012,0.521921,0.461101,0.489738,0.423165,0.409933,0.392274,0.363057,0.341404,0.318894,0.268049,0.124672,0.053879,-0.052833,-0.035681,0.221965,0.205964,0.240284,0.349357,0.401949,0.444169,0.561061,0.651176,0.605134,0.562303,0.553056,0.522779,0.551764,0.533797,0.550022,0.480611,0.498518,0.391072,0.363095,0.041466,0.0,0.0,0.118627,0.265186,0.347646,0.469374,0.551569,0.631652,0.688131,0.421491,0.964048,1.066871,1.152531,1.195405,1.261807,1.197609,1.18567,1.232195,1.253783,1.109883,1.216846,1.245446,1.166056,1.20348,0.5786,0.061067,0.017215,0.0,0.0,0.011435,0.064391,0.12115,0.171599,0.235547,0.335855,0.455019,0.213472,0.662503,0.766173,0.813442,0.846122,0.899452,0.877974,0.825331,0.816705,0.849757,0.81341,0.819651,0.80355,0.790866,0.725516,0.277331,0.000588,51.6,679.358605,13.278317,2258.34923,44.152308,11,13,8,100.061739,7.170682,53.884827,100.06113,3.482705,54.0,41.21544,66.556243,0.614625,7.399661,53.85825,101.781414,101.695369,3.533126,52.0,40.408105,65.478938,99.67123,6686.475344,0.155632,1.319907,99.671056,3.527501,55.0,41.955183,66.644888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,93,2,17,419,2,1,21,5235,Stelly,No,6,34,5235,Stelly,0.02412741368412633,-0.008982,-0.002034,-0.008703,-0.001339,0.031519,0.086078,0.104446,0.146673,0.143838,0.18774,0.382366,0.393921,0.427061,0.424378,0.47787,0.425073,0.444563,0.402737,0.364925,0.351993,0.302511,0.294907,0.25319,0.230144,0.088209,0.031149,-0.050736,-0.030615,0.218486,0.183966,0.241153,0.325491,0.370892,0.420925,0.529159,0.623174,0.606461,0.565303,0.550508,0.512578,0.575564,0.56125,0.539334,0.461668,0.488591,0.363936,0.351246,0.034394,0.0,0.0,0.089753,0.219947,0.312019,0.408492,0.49224,0.576191,0.643376,0.393181,0.947742,1.057686,1.149857,1.181303,1.247343,1.205632,1.179985,1.180163,1.187107,1.048117,1.147385,1.185177,1.120513,1.110838,0.369571,0.126307,0.013332,0.0,0.0,0.005376,0.046483,0.087366,0.123811,0.190608,0.276324,0.359229,0.166058,0.595661,0.696638,0.77844,0.788765,0.850192,0.846201,0.760703,0.741089,0.77082,0.734277,0.733503,0.678522,0.723364,0.50401,0.074548,0.000662,58.3,814.616601,14.21275,2810.05769,49.236183,9,10,10,97.57625,6.398884,55.092047,97.576081,3.804302,55.0,43.779433,66.406471,1.056974,8.643305,55.126596,98.745631,98.714644,3.869947,54.0,43.367687,65.515386,96.760802,223301.11712,0.205839,1.820975,96.760799,3.984548,57.0,45.443925,66.381198,0.046151,6.178358,92.699717,96.494624,17.504172,96.494624,3.699473,57.0,43.298004,67.706951
93,93,94,2,18,420,1,1,C,PHY_499,Visual_Check,No,6,35,PHY499,Visual Check,0.021886508539786402,-0.009599,-0.007211,-0.0103,-0.00538,0.016463,0.075933,0.101447,0.156019,0.149359,0.200797,0.412053,0.417323,0.348082,0.388826,0.429955,0.394405,0.407084,0.382758,0.37488,0.374706,0.334961,0.33443,0.282164,0.261992,0.130116,0.046409,-0.043289,-0.032481,0.209231,0.211726,0.247114,0.318346,0.345815,0.405006,0.526978,0.622321,0.643571,0.629407,0.628137,0.563031,0.593133,0.567145,0.535656,0.462799,0.499681,0.352904,0.343541,0.035789,0.0,0.0,0.072984,0.211734,0.286391,0.371856,0.431777,0.514328,0.581762,0.323827,0.863449,0.952371,1.025391,1.052272,1.116579,1.077872,1.069174,1.085509,1.085068,0.974561,1.051499,1.060373,1.029631,1.092657,0.100312,0.098063,0.013633,0.0,0.0,0.002843,0.027943,0.067608,0.098866,0.142544,0.213429,0.281493,0.093592,0.404356,0.526406,0.644459,0.677074,0.745252,0.745397,0.696501,0.68437,0.739183,0.702366,0.700281,0.653848,0.674073,0.576796,0.00584,0.000385,46.3,648.310638,14.114661,2213.564343,48.135932,1,7,14,88.68683,4.77862,53.624444,88.686828,4.61586,54.0,45.149301,62.098774,-0.229295,10.210237,53.631342,89.866891,89.861879,4.310207,53.0,43.974185,62.341847,90.652444,0.317886,0.125567,0.000547,90.651221,4.172834,51.0,42.82588,62.383337,0.339274,15.47623,47.481437,94.108809,0.328999,93.727749,4.461471,50.0,43.769403,60.513195
94,94,95,2,18,420,2,1,C,PHY_499,Visual_Check,No,6,36,PHY499,Visual Check,0.027664627185505955,-0.008866,-0.00862,-0.012818,-0.005819,0.017322,0.054403,0.082858,0.13279,0.123416,0.169103,0.398832,0.382748,0.33352,0.390762,0.424168,0.407051,0.40551,0.377008,0.333089,0.340065,0.286466,0.283387,0.243028,0.236085,0.114111,0.037159,-0.036399,-0.032687,0.227073,0.183208,0.237835,0.27089,0.317018,0.374861,0.499559,0.594679,0.559891,0.563769,0.567791,0.511891,0.599331,0.574093,0.530405,0.448274,0.47827,0.319866,0.318658,0.033536,0.0,0.0,0.032316,0.149151,0.224502,0.305001,0.365589,0.474465,0.545308,0.290736,0.830939,0.937748,1.055162,1.08225,1.145436,1.131136,1.064876,1.083839,1.131967,1.025977,1.114673,1.073767,1.043373,1.068964,0.136602,0.051316,0.013454,0.0,0.0,0.000864,0.018658,0.049414,0.074544,0.113898,0.191114,0.261449,0.091649,0.400781,0.520059,0.638893,0.661041,0.726818,0.74961,0.676239,0.607523,0.679966,0.647049,0.654781,0.598587,0.607739,0.529852,0.008196,0.000361,48.4,691.125419,13.525123,2392.463691,46.407143,4,4,10,93.568963,5.068975,55.533536,93.568958,4.590247,56.0,46.539593,64.5274,-0.375083,10.427442,55.449266,94.609167,94.603095,4.485324,54.0,45.669661,64.284088,95.105902,49.096222,0.131154,0.048922,95.10489,4.464507,53.0,44.851513,64.022626,0.258076,14.307298,50.796513,96.61106,0.462306,96.493135,4.788548,53.0,45.886475,62.565053
95,95,96,2,19,421,1,1,19,PSC_355,Check,No,6,37,PSC 355,Check,0.02033897763293282,-0.007032,-0.007254,-0.012193,-0.008845,0.017988,0.051001,0.080748,0.149636,0.133019,0.213304,0.4144,0.426412,0.32679,0.393827,0.435689,0.404439,0.401483,0.374966,0.403638,0.427324,0.435689,0.397823,0.362576,0.324159,0.181978,0.089231,-0.033231,-0.035802,0.214246,0.195874,0.238917,0.261302,0.332133,0.387823,0.536462,0.622625,0.673618,0.63508,0.638329,0.566005,0.606611,0.578127,0.538115,0.494738,0.543616,0.403329,0.39018,0.03774,0.0,0.0,0.007824,0.082204,0.179985,0.269148,0.326898,0.41248,0.484388,0.221371,0.73676,0.864306,0.983944,1.044574,1.138768,1.144525,1.101853,1.146639,1.136192,1.018212,1.125008,1.118489,1.102077,1.163592,0.822088,0.14055,0.015404,0.0,0.0,5.4e-05,0.006547,0.037235,0.077148,0.099237,0.187978,0.240179,0.049038,0.324278,0.45679,0.544921,0.611299,0.690003,0.712199,0.698923,0.715353,0.735286,0.703195,0.704879,0.650677,0.668715,0.574864,0.199829,0.001834,43.3,490.002221,11.283078,1522.415624,34.992227,0,0,1,84.87701,3.294989,52.852771,84.87701,6.38776,53.0,46.987952,58.726625,-0.027264,15.809858,52.761808,85.099263,85.099246,6.337436,52.0,46.640973,58.497946,85.004871,702993.697388,0.266914,0.624806,85.004871,6.36863,52.0,46.5883,58.511697,0.511269,25.965002,48.666284,86.540585,0.324809,86.528985,6.728648,51.0,46.469182,56.876288
96,96,97,2,19,421,2,1,19,PSC_355,Check,No,6,38,PSC 355,Check,0.04075834648180608,-0.007024,-0.002237,-0.01152,-0.003732,0.066445,0.131552,0.15561,0.218268,0.179858,0.226552,0.442072,0.480667,0.405514,0.466172,0.482616,0.451029,0.44255,0.416704,0.394006,0.41039,0.37929,0.337477,0.28906,0.25296,0.114271,0.053348,-0.039687,-0.035471,0.218017,0.207144,0.252125,0.369593,0.444555,0.440775,0.553793,0.648332,0.623179,0.556237,0.571463,0.514732,0.565683,0.530643,0.512636,0.435642,0.466625,0.343158,0.323952,0.046251,0.0,0.000168,0.13878,0.318229,0.411387,0.538425,0.608117,0.695099,0.753489,0.502677,1.004884,1.121206,1.200754,1.233287,1.303251,1.247302,1.228987,1.31813,1.232932,1.114884,1.223909,1.216332,1.180262,1.21724,0.794734,0.430835,0.019926,0.0,0.0,0.014723,0.080657,0.140923,0.196486,0.253586,0.35836,0.429064,0.221558,0.574283,0.727436,0.815826,0.842997,0.903815,0.886428,0.826403,0.801937,0.857873,0.807312,0.813601,0.739369,0.73865,0.644494,0.241088,0.009931,60.4,819.835571,13.740919,2783.422338,46.895685,8,10,12,96.546979,5.80338,49.775622,96.546962,4.147285,50.0,39.504645,60.040265,0.764439,8.558447,49.758426,97.483737,97.469918,4.199758,48.0,39.032086,59.229765,96.346752,17154.858158,0.188651,1.267978,96.346747,4.18456,50.0,39.997961,60.144741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,98,2,20,422,1,1,12,7-7-1303CT,Dever,No,6,39,7-7-1303CT,Dever ,0.014681445811123937,-0.005882,-0.004474,-0.013077,-0.005836,0.024118,0.047639,0.078835,0.134487,0.115914,0.197603,0.436451,0.409091,0.278848,0.330141,0.380999,0.374166,0.361199,0.380178,0.354085,0.381797,0.325714,0.314294,0.260218,0.262059,0.139918,0.068259,-0.04561,-0.035785,0.194406,0.213395,0.247477,0.272254,0.359099,0.398984,0.539879,0.612695,0.628852,0.601411,0.600845,0.574643,0.640546,0.596317,0.540383,0.489205,0.571795,0.404269,0.360447,0.04301,0.0,0.0,0.028608,0.137443,0.212124,0.307812,0.385226,0.479562,0.562611,0.238613,0.765805,0.841162,0.957038,0.988639,1.070273,1.06382,1.049586,1.089957,1.03903,0.927329,1.015468,0.992619,0.958979,0.998366,0.830794,0.284114,0.019535,0.0,0.0,0.000672,0.014821,0.043271,0.081044,0.09979,0.186685,0.269439,0.058788,0.294696,0.394282,0.477664,0.514715,0.54492,0.591478,0.53336,0.499204,0.542981,0.476013,0.476298,0.407717,0.446478,0.352247,0.176881,0.004617,30.0,343.6056,12.063782,1081.454241,39.249887,3,2,12,80.154293,3.193689,53.789293,80.154293,6.217058,54.0,48.095462,59.492725,0.903452,17.242713,53.78267,80.239172,80.239167,6.296189,53.0,48.065699,59.176915,80.014069,182807980884031.0,0.563384,3.314277,80.014069,6.638163,56.0,50.04058,60.103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,98,99,2,20,422,2,1,12,7-7-1303CT,Dever,No,6,40,7-7-1303CT,Dever ,0.025564406669061804,-0.006679,-0.00514,-0.011374,0.00207,0.06022,0.106342,0.141849,0.214223,0.187893,0.260763,0.490234,0.52913,0.381519,0.433024,0.443631,0.431242,0.472404,0.416339,0.407058,0.436814,0.432353,0.402299,0.37687,0.333559,0.187825,0.112477,-0.047623,-0.047155,0.201856,0.254759,0.265648,0.412012,0.441781,0.448551,0.579402,0.637232,0.684129,0.611894,0.643341,0.557896,0.619104,0.574973,0.534095,0.501234,0.597353,0.469666,0.414466,0.04322,0.0,0.0,0.134567,0.255466,0.316084,0.440758,0.49911,0.602377,0.654605,0.394832,0.884584,1.017065,1.101761,1.161184,1.236526,1.21034,1.237639,1.277822,1.230438,1.11744,1.204367,1.185835,1.166086,1.262295,0.755211,0.127559,0.015717,0.0,0.0,0.012489,0.051164,0.09991,0.166366,0.212675,0.326543,0.381506,0.163917,0.495955,0.627248,0.708246,0.758201,0.812955,0.776995,0.784505,0.761385,0.803575,0.76708,0.776667,0.724104,0.705867,0.621179,0.138928,0.001234,44.1,444.070556,10.195237,1341.003137,30.914887,1,7,5,89.600269,4.170062,50.366152,89.600269,5.335899,50.0,42.96002,57.777318,2.231056,12.772175,50.537051,89.802825,89.80263,5.536574,50.0,43.282526,57.219425,89.189797,69634569958.8047,0.443042,3.610803,89.189797,5.554049,53.0,45.225548,58.540858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,100,2,21,423,1,1,C,PHY_499,Visual_Check,No,6,41,PHY499,Visual Check,0.03271922488776149,-0.004088,-0.006575,-0.008585,0.000837,0.041033,0.147914,0.192946,0.272073,0.202877,0.260253,0.478546,0.531143,0.444881,0.471272,0.480648,0.44655,0.458388,0.417665,0.401217,0.421183,0.417754,0.389411,0.369442,0.329807,0.162874,0.098226,-0.032948,-0.045623,0.217006,0.263618,0.265751,0.374461,0.481173,0.477751,0.57466,0.621387,0.639132,0.557624,0.574355,0.519294,0.570444,0.541826,0.53799,0.481499,0.520843,0.380313,0.343844,0.044048,0.0,0.000158,0.121797,0.309136,0.401125,0.524303,0.594565,0.690476,0.732652,0.492684,1.010211,1.120503,1.205273,1.255525,1.310508,1.262492,1.256248,1.312246,1.269583,1.160172,1.238161,1.234092,1.208159,1.270214,0.86268,0.040753,0.017024,0.0,0.0,0.009581,0.085972,0.170198,0.252426,0.286464,0.405944,0.484629,0.260559,0.673004,0.791718,0.867692,0.910017,0.962327,0.936543,0.896826,0.823899,0.917815,0.877147,0.889558,0.87481,0.862337,0.800207,0.452143,0.002936,53.5,726.25675,13.718753,2497.510327,47.272765,1,8,11,96.676129,5.284817,48.113745,96.676126,4.559176,48.0,38.757278,57.472161,-0.478393,8.961232,47.898022,97.468338,97.461781,4.621536,47.0,38.046348,56.649689,97.543518,0.89913,0.133544,0.002202,97.543216,4.772624,45.0,37.611605,56.007788,0.134824,12.292869,43.897136,98.586381,0.509627,98.517563,5.077676,46.0,38.693032,54.853614
100,100,101,2,21,423,2,1,C,PHY_499,Visual_Check,No,6,42,PHY499,Visual Check,0.024619809881761566,-0.005929,-0.008321,-0.008214,0.001235,0.03548,0.107107,0.144121,0.203583,0.172168,0.233884,0.430703,0.515534,0.444829,0.490072,0.496609,0.461143,0.460658,0.420917,0.398472,0.414532,0.414646,0.390228,0.36371,0.330769,0.150546,0.09027,-0.04391,-0.041526,0.225297,0.242207,0.279037,0.372384,0.46264,0.457018,0.569335,0.628215,0.639311,0.548885,0.573803,0.519065,0.580729,0.558989,0.523638,0.49884,0.538452,0.405772,0.36691,0.042215,0.0,0.0,0.090828,0.263069,0.355993,0.475308,0.529041,0.63676,0.687906,0.448458,0.960126,1.093198,1.180235,1.240644,1.305931,1.250617,1.228136,1.249559,1.256304,1.121208,1.219131,1.231546,1.221658,1.260121,0.775643,0.070594,0.014447,0.0,0.0,0.007632,0.066435,0.124284,0.186309,0.245224,0.382267,0.458686,0.242699,0.658287,0.787879,0.848812,0.897009,0.94771,0.919424,0.86337,0.802708,0.888865,0.840361,0.863065,0.833768,0.833916,0.769133,0.473294,0.000351,57.4,795.093841,14.161686,2791.692626,50.045035,2,9,6,98.452729,6.080131,51.31739,98.452684,4.036301,51.0,40.557553,62.072072,-0.139314,8.259231,51.1566,99.624959,99.600541,4.074249,50.0,39.724087,61.195256,98.880262,739.570297,0.14224,0.595227,98.879986,4.014389,50.0,39.801144,61.770809,-0.678176,6.554288,62.970347,98.187955,3.025012,98.187943,3.910203,51.0,39.55737,62.796302
101,101,102,2,22,424,1,1,5,TAM_11K-13_ELSU,Smith,No,6,43,TAM 11K-13 ELSU,Smith,0.03667849227282845,-0.005386,-0.006973,-0.005561,0.003549,0.044349,0.137992,0.166924,0.211773,0.177122,0.216775,0.459807,0.367745,0.435109,0.484622,0.468447,0.468546,0.415896,0.433008,0.415346,0.426952,0.417332,0.422919,0.393593,0.340873,0.193254,0.104369,-0.038117,-0.042029,0.221662,0.213024,0.284708,0.362726,0.478327,0.456774,0.537836,0.58827,0.578548,0.509079,0.51211,0.486068,0.537838,0.510064,0.506789,0.492292,0.504668,0.381233,0.351568,0.047095,0.0,0.000801,0.147107,0.34584,0.447071,0.562475,0.614265,0.702697,0.747401,0.494575,0.958254,1.071979,1.138104,1.182813,1.235202,1.193485,1.165701,1.241958,1.188336,1.090323,1.159187,1.15442,1.16239,1.209241,0.758202,0.169937,0.016153,0.0,2e-06,0.016292,0.110593,0.181103,0.244935,0.309798,0.410462,0.493944,0.274898,0.677177,0.79697,0.875785,0.890757,0.942858,0.939138,0.887739,0.833299,0.902413,0.844868,0.856321,0.843247,0.826781,0.805372,0.424547,0.001324,50.0,678.005548,13.711309,2301.209448,46.69974,0,8,4,99.638652,6.532603,49.542733,99.638555,3.80107,50.0,37.98877,61.098913,0.55671,7.580172,49.462735,100.85652,100.818846,3.901068,48.0,37.402353,59.919326,100.072143,339.981116,0.132387,0.57841,100.071618,3.805106,48.0,37.210535,60.675822,-0.145555,5.934731,61.827914,99.461222,2.9371,99.461159,3.679316,50.0,36.904795,61.806225
102,102,103,2,22,424,2,1,5,TAM_11K-13_ELSU,Smith,No,6,44,TAM 11K-13 ELSU,Smith,0.013365039650099135,-0.006298,-0.009361,-0.009234,-0.00407,0.010258,0.046812,0.065214,0.092259,0.083688,0.157706,0.336066,0.327645,0.323307,0.399709,0.40966,0.422562,0.38435,0.400745,0.402354,0.421422,0.367275,0.349376,0.299967,0.31184,0.162909,0.073402,-0.035488,-0.035658,0.224889,0.175637,0.267403,0.288631,0.324564,0.370617,0.510402,0.619661,0.657309,0.599428,0.597606,0.561394,0.585637,0.548883,0.52799,0.518039,0.542035,0.434618,0.388225,0.031094,0.0,0.0,0.00991,0.119928,0.19348,0.253189,0.320424,0.430327,0.479532,0.236377,0.704226,0.822717,0.909561,0.942561,1.015636,1.002244,1.016841,1.017076,1.039118,0.921255,0.989903,0.936904,0.912854,0.954614,0.723187,0.260732,0.008213,0.0,0.0,0.000155,0.010445,0.033995,0.05688,0.092078,0.170266,0.229838,0.068866,0.400994,0.513557,0.6003,0.635032,0.668542,0.683768,0.659655,0.633313,0.662804,0.589419,0.589962,0.510624,0.569491,0.495501,0.249844,0.002917,30.2,299.437747,9.627182,886.24042,28.1879,1,1,6,90.997015,5.281058,57.510994,90.997,4.285771,58.0,48.148532,66.872953,-0.648397,10.037639,57.507356,92.512152,92.499833,4.09049,56.0,46.977091,66.977386,93.316169,0.120111,0.118536,0.00019,93.312499,4.053628,54.0,46.092184,66.807561,0.527515,17.392396,50.772052,96.743614,0.299699,96.257058,4.574654,54.0,47.409267,64.03301
103,103,104,2,23,425,1,1,8,TAM_WK-11_Lo,Hague,No,6,45,TAM WK-11 Lo,Hague,0.04160245424918076,-0.007212,-0.004886,-0.007249,-0.000434,0.042626,0.135487,0.176048,0.209486,0.182178,0.230915,0.46306,0.408188,0.400245,0.468422,0.47146,0.454481,0.442678,0.438149,0.359263,0.346713,0.214461,0.219507,0.186861,0.201009,0.056634,-0.007026,-0.060401,-0.039135,0.218773,0.178695,0.269912,0.302402,0.435735,0.454807,0.557816,0.64263,0.626154,0.561611,0.566032,0.512919,0.568498,0.5293,0.470389,0.446342,0.469917,0.404235,0.358446,0.037816,0.0,0.0,0.12576,0.345176,0.434331,0.573242,0.66152,0.761433,0.810787,0.572464,1.062828,1.170206,1.23854,1.26143,1.294817,1.257351,1.235895,1.147447,1.250328,1.134077,1.173925,1.192749,0.831753,0.973855,0.286206,0.317452,0.009892,0.0,0.0,0.010286,0.092582,0.159693,0.220863,0.30422,0.454832,0.462544,0.305613,0.690981,0.838046,0.928895,0.947441,0.995977,0.941646,0.875647,0.794729,0.921289,0.803826,0.791592,0.620088,0.506571,0.46245,0.025645,0.002214,57.4,692.430157,12.056192,2285.366162,39.803334,12,39,38,96.940544,6.335884,49.740375,96.940481,3.815547,50.0,38.533224,60.941984,-0.266607,7.733071,49.530257,98.126202,98.094344,3.896844,48.0,37.698145,59.820759,97.776548,69.17448,0.12042,0.238601,97.775197,3.869452,47.0,37.255703,59.957442,-0.612163,6.786762,53.911238,97.428274,1.552405,97.424069,3.760599,49.0,37.38468,60.809515
104,104,105,2,23,425,2,1,8,TAM_WK-11_Lo,Hague,No,6,46,TAM WK-11 Lo,Hague,0.0365780032529029,-0.008019,-0.002926,-0.007331,0.001758,0.064493,0.14309,0.186279,0.22713,0.194682,0.233591,0.460098,0.46863,0.423917,0.48847,0.500681,0.458811,0.455129,0.462717,0.37685,0.338248,0.21937,0.230364,0.1957,0.2046,0.064109,-0.002882,-0.057913,-0.041898,0.232835,0.170234,0.277841,0.360092,0.454448,0.469902,0.572917,0.640345,0.619919,0.55871,0.564841,0.517301,0.582871,0.535236,0.488639,0.45006,0.459541,0.385802,0.340405,0.030276,0.0,0.0,0.146382,0.36875,0.462902,0.591832,0.677755,0.759776,0.785114,0.549679,1.05626,1.126055,1.214202,1.233249,1.277445,1.228192,1.20837,1.142617,1.241966,1.132917,1.210288,1.120774,0.971765,0.959936,0.12072,0.520294,0.006453,0.0,0.0,0.015765,0.104656,0.178285,0.228983,0.320348,0.485328,0.539596,0.324054,0.740786,0.84754,0.91218,0.924838,0.963544,0.931552,0.849533,0.829254,0.877729,0.764635,0.754511,0.56504,0.654512,0.418932,0.008082,0.010153,54.4,724.033856,13.310257,2490.771105,45.740812,10,35,32,97.580283,6.448146,49.298879,97.580207,3.77369,49.0,37.897495,60.70314,1.076835,7.776802,49.307394,98.611706,98.582568,3.899375,48.0,37.59113,59.510351,97.558152,2324.540283,0.156454,1.026633,97.558084,3.77415,49.0,37.94639,60.723924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
